thisN,thisTrialN,thisRepN,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,mouse.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,positions,ISI.started,blank.started,blank.stopped,ISI.stopped,corsi_present.started,blk1_3.started,blk2_3.started,blk3_3.started,blk4_3.started,blk5_3.started,blk6_3.started,blk7_3.started,blk8_3.started,blk9_3.started,blk1_3.stopped,blk2_3.stopped,blk3_3.stopped,blk4_3.stopped,blk5_3.stopped,blk6_3.stopped,blk7_3.stopped,blk8_3.stopped,blk9_3.stopped,corsi_present.stopped,corsi_respond.started,blk1.started,blk2.started,blk3.started,blk4.started,blk5.started,blk6.started,blk7.started,blk8.started,blk9.started,corsi_mouse.started,submit_button.started,corsi_respond.stopped,corsi_task.corsi_mouse.x,corsi_task.corsi_mouse.y,corsi_task.corsi_mouse.leftButton,corsi_task.corsi_mouse.midButton,corsi_task.corsi_mouse.rightButton,corsi_task.corsi_mouse.time,corsi_task.corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,fbtxt.started,fbtxt.stopped,feedback.stopped,end.started,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.003843699931167066,0.006659799953922629,0.006659799953922629,0.0035703000612556934,0.5000247999560088,lalt,0.48013939999509603,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
0,0,0,,,,,,,,0,0,0,0,0,0,0,0,1.0124804000370204,,,,,,,,,,,,,,,,"[[0.365, -0.27625], [0.28875, 0.39875], [0.30125, -0.0175], [0.4625, 0.35875], [0.25625, 0.0975], [0.19375, -0.17125], [-0.01875, 0.235], [-0.18625, 0.41125], [-0.26625, 0.235]]",0.5053915999596938,0.5123889000387862,1.0124804000370204,0.9965421999804676,0.9971764000365511,1.0124804000370204,1.0124804000370204,1.0124804000370204,1.0124804000370204,1.0124804000370204,1.0124804000370204,1.0124804000370204,1.0124804000370204,1.0124804000370204,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5005558000411838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
1,0,1,,,,,,,,0,0,0,0,1,0,1,0,1.5169526999816298,,,,,,,,,,,,,,,,,,,,,1.5009808000177145,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,1.5169526999816298,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.000026599969715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
2,0,2,,,,,,,,0,0,0,0,2,0,2,0,2.0170113999629393,,,,,,,,,,,,,,,,,,,,,2.0004061999497935,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.0170113999629393,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.50006220000796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
0,0,0,"[-0.2518518518518518, -0.012037037037037037, 0.24814814814814815, 0.4842592592592593]","[0.19074074074074074, 0.20555555555555555, 0.075, -0.40185185185185185]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[3.6891200999962166, 4.779139599995688, 5.612240000045858, 6.5791310999775305]","['blk9', 'blk7', 'blk5', None]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.534644700004719,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,2.5401893999660388,0.03462349995970726,8.162416700040922,9.11482639994938,"[-0.2518518518518518, -0.012037037037037037, 0.24814814814814815, 0.4842592592592593]","[0.19074074074074074, 0.20555555555555555, 0.075, -0.40185185185185185]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[3.6891200999962166, 4.779139599995688, 5.612240000045858, 6.5791310999775305]","['blk9', 'blk7', 'blk5', None]","[0, 0, 0]",0,9.118088399991393,9.12903179996647,10.128870700020343,10.112821299931966,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
0,0,0,,,,,,,,1,0,1,0,0,0,0,0,10.62904939998407,,,,,,,,,,,,,,,,"[[0.05875, -0.0575], [0.57875, -0.31375], [0.16625, 0.3825], [-0.0225, 0.395], [0.25625, 0.0975], [-0.12125, -0.12625], [0.45375, 0.175], [-0.68625, -0.225], [0.22, 0.2425]]",10.116344299982302,10.128870700020343,10.62904939998407,10.612955000018701,10.61346349993255,10.62904939998407,10.62904939998407,10.62904939998407,10.62904939998407,10.62904939998407,10.62904939998407,10.62904939998407,10.62904939998407,10.62904939998407,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.112920099985786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
1,0,1,,,,,,,,1,0,1,0,1,0,1,0,11.128950000042096,,,,,,,,,,,,,,,,,,,,,11.113347799982876,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.128950000042096,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.613143699942157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
2,0,2,,,,,,,,1,0,1,0,2,0,2,0,11.628886800026521,,,,,,,,,,,,,,,,,,,,,11.613748500007205,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,11.628886800026521,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.113194299978204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
1,0,1,"[0.09166666666666666, 0.15833333333333333, 0.4564814814814815, 0.4638888888888889]","[-0.06759259259259259, 0.4148148148148148, 0.18055555555555555, -0.40185185185185185]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.3681024999823421, 1.218886399990879, 2.168732300051488, 3.018614700064063]","['blk1', 'blk3', 'blk7', None]",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.145053399959579,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,12.149922300013714,0.030096599948592484,14.328827199991792,15.164801500039175,"[0.09166666666666666, 0.15833333333333333, 0.4564814814814815, 0.4638888888888889]","[-0.06759259259259259, 0.4148148148148148, 0.18055555555555555, -0.40185185185185185]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.3681024999823421, 1.218886399990879, 2.168732300051488, 3.018614700064063]","['blk1', 'blk3', 'blk7', None]","[1, 0, 0]",0,15.165454400004819,15.178752199979499,16.178766699973494,16.162710699951276,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
0,0,0,,,,,,,,2,0,2,0,0,0,0,0,16.67885419994127,,,,,,,,,,,,,,,,"[[0.1925, -0.295], [0.19375, -0.17125], [-0.3575, -0.05625], [-0.26625, 0.235], [0.4625, 0.35875], [0.4125, -0.1325], [-0.01875, 0.235], [0.28875, 0.39875], [-0.4075, 0.11875]]",16.165401099948213,16.178766699973494,16.67885419994127,16.6626487999456,16.66313729993999,16.67885419994127,16.67885419994127,16.67885419994127,16.67885419994127,16.67885419994127,16.67885419994127,16.67885419994127,16.67885419994127,16.67885419994127,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.163178900023922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
1,0,1,,,,,,,,2,0,2,0,1,0,1,0,17.178808599943295,,,,,,,,,,,,,,,,,,,,,17.163770099985413,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.178808599943295,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.662969199940562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
2,0,2,,,,,,,,2,0,2,0,2,0,2,0,17.678789800032973,,,,,,,,,,,,,,,,,,,,,17.66342340002302,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,17.678789800032973,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.162600200041197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
2,0,2,"[0.1962962962962963, 0.38981481481481484, 0.20555555555555555, 0.4462962962962963]","[-0.15833333333333333, -0.14074074074074075, -0.26296296296296295, -0.3861111111111111]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.4489521000068635, 1.214960299897939, 1.9986868998967111, 2.864876399980858]","['blk2', 'blk6', 'blk1', None]",2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.198236100026406,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,18.20300199999474,0.03329590009525418,20.21212999999989,21.06419319997076,"[0.1962962962962963, 0.38981481481481484, 0.20555555555555555, 0.4462962962962963]","[-0.15833333333333333, -0.14074074074074075, -0.26296296296296295, -0.3861111111111111]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.4489521000068635, 1.214960299897939, 1.9986868998967111, 2.864876399980858]","['blk2', 'blk6', 'blk1', None]","[0, 0, 0]",0,21.06481899996288,21.078878700034693,22.078728099935688,22.062676599947736,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
0,0,0,,,,,,,,3,0,3,0,0,0,0,0,22.578881499939598,,,,,,,,,,,,,,,,"[[-0.01125, -0.295], [-0.3575, -0.05625], [-0.12125, -0.12625], [0.62875, -0.1825], [0.30125, -0.0175], [0.0675, 0.07375], [0.54, 0.03625], [0.365, -0.27625], [-0.485, 0.34625]]",22.065712700015865,22.078728099935688,22.578881499939598,22.562941399984993,22.563328200019896,22.578881499939598,22.578881499939598,22.578881499939598,22.578881499939598,22.578881499939598,22.578881499939598,22.578881499939598,22.578881499939598,22.578881499939598,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.062648999970406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
1,0,1,,,,,,,,3,0,3,0,1,0,1,0,23.078796499990858,,,,,,,,,,,,,,,,,,,,,23.063102400046773,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.078796499990858,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.56283640000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
2,0,2,,,,,,,,3,0,3,0,2,0,2,0,23.578757900046185,,,,,,,,,,,,,,,,,,,,,23.5633582000155,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,23.578757900046185,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.062802999978885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
3,0,3,"[0.009259259259259259, 0.28055555555555556, 0.07314814814814814, 0.46574074074074073]","[-0.2898148148148148, -0.06111111111111111, 0.07685185185185185, -0.38796296296296295]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.196861100033857, 2.096262599923648, 3.2295199999352917, 4.246287200017832]","['blk1', 'blk5', 'blk6', None]",3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.100392299937084,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,24.10528829996474,0.03607620007824153,27.34523969993461,28.34790549997706,"[0.009259259259259259, 0.28055555555555556, 0.07314814814814814, 0.46574074074074073]","[-0.2898148148148148, -0.06111111111111111, 0.07685185185185185, -0.38796296296296295]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.196861100033857, 2.096262599923648, 3.2295199999352917, 4.246287200017832]","['blk1', 'blk5', 'blk6', None]","[1, 0, 0]",0,28.348578299977817,28.361985999974422,29.400446599931456,29.34596089995466,,,1,001,2025-03-06_04h23.36.379,corsi_blocks,2024.2.4,59.87339175150998,2025-03-06 04h23.44.391419 +0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.398225100012496,29.400446599931456,,,,,,,,
